nombre,descripcion,calorias,proteinas,grasas,carbohidratos,categoria,beneficios,imagen_url,
Liebre ,"Carne oscura y magra, con sabor fuerte, rica en proteínas y baja en grasas.",126,"22,8 ","3,2",0,carnes,"Baja en grasas, rica en proteínas y minerales esenciales.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732633538/ovb3juv9lw1vhdlzbpkx.jpg,
Pato ,"Carne jugosa y sabrosa, con mayor contenido de grasas saludables, rica en hierro y vitamina B.",288,"15,9 ","24,9",0,carnes,"Rico en grasas saludables, alto contenido de hierro y vitamina B12.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632572/me5jpdyzsmalggojf5dy.png,
Pavo pechuga ,"Carne magra de ave, baja en grasas y alta en proteínas, ideal para dietas ligeras.",134,22,"4,9","0,4 ",carnes,"Bajo en grasas, excelente fuente de proteínas magras.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632568/i5tgsqidam0qchb7join.jpg,
Pavo muslo ,"Parte más jugosa, con mayor contenido de grasa, rica en hierro y zinc.",186,"20,9 ","11,2","0,4 ",carnes,"Rico en hierro y proteínas, ideal para el desarrollo muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732633534/hxrvbf07xu4abqnweppt.jpg,
Perdiz ,"Ave de carne magra y delicada, rica en proteínas y baja en grasas.",120,25,"1,4","0,5 ",carnes,"Baja en grasas y rica en proteínas, ideal para dietas saludables.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632565/xl36nny6fnx2kiduydwu.jpg,
Pollo muslo ,"Carne jugosa y rica en sabor, con mayor grasa que la pechuga, pero aún saludable.",130,"19,6 ","5,7",0,carnes,"Fuente de proteínas y hierro, ideal para energía y desarrollo muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732633532/pxiddqxwixcf7i8e9evc.jpg,
Pollo pechuga ,"Fuente magra de proteínas, baja en grasas y muy versátil para diferentes preparaciones.",108,"22,4 ",2.1,0,carnes,"Bajo en grasas, excelente para dietas y fortalecimiento muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732633531/ulxm2uy5pvs2eyt0n35n.jpg,
Almeja ,"Molusco rico en hierro y proteínas, bajo en calorías.",73,"10,2 ","2,5","2,2 ",pescados,"Fuente de hierro y vitamina B12, ideal para prevenir anemia.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634247/entqvpgwwye2zgp1bzkq.jpg,
Anguila ,"Pescado graso con textura suave, sabor intenso.",264,"11,8 ","23,7","0,1 ",pescados,"Alto en grasas saludables y vitaminas A y D, beneficioso para la piel y los huesos.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634245/dlawl8stowyo6n7iyemv.jpg,
Arenque ,Pescado azul con alto contenido de omega-3.,174,"17,7 ","11,5",0,pescados,"Rico en ácidos grasos omega-3, ayuda a la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634244/xqdnhlseswrhdyzkw0zt.jpg,
Atún fresco  ,Pescado magro de carne firme y versátil.,158,"21,5 ",8,0,pescados,"Alto en proteínas y omega-3, promueve la salud del corazón y el cerebro.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634242/gsw3q7omnwyo3zwzw7ec.jpg,
Bacalao ,Pescado blanco de carne magra y suave.,122,29,"0,7",0,pescados,"Bajo en grasas, rico en proteínas y vitamina D.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634241/djtg56bnuvzx32fcpxhg.jpg,
Boquerón ,Pequeño pescado azul con sabor fuerte.,96,"16,8 ","2,6","1,5 ",pescados,"Fuente de calcio y omega-3, ideal para fortalecer huesos y articulaciones.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634487/anfsbbzjjxr3mhq4kcoq.jpg,
Caballa ,Pescado azul con sabor intenso.,170,17,"11,1",0,pescados,"Rico en omega-3 y selenio, mejora la salud cardiovascular y el sistema inmune.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634522/qxzmysukykqdkdottgmq.jpg,
Calamar ,Cefalópodo de carne firme y versátil en la cocina.,68,"12,6 ","1,7","0,7 ",pescados,"Bajo en grasas, rico en proteínas y minerales como el zinc.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634520/mmavyt8jc1fjgom1gmyr.jpg,
Dorada ,Pescado blanco de carne firme y delicada.,80,"19,8 ","1,2",0,pescados,"Rico en proteínas y bajo en grasas, ideal para dietas saludables.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634520/znutz5p9mzdtrje2vsfy.jpg,
Gallo ,Pescado blanco de carne suave y bajo en grasas.,78,"16,2 ","0,9","1,2 ",pescados,"Alto en proteínas, favorece el mantenimiento muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634518/vv0ae3vtwbdvkudvrpog.jpg,
Gamba ,Marisco de carne tierna y dulce.,65,"13,6 ","0,6","2,9 ",pescados,"Fuente de proteínas y antioxidantes, contribuye a la salud de la piel y el sistema inmune.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634515/y2frtdtwjhdyxaaopjlw.jpg,
Langosta ,Crustáceo de carne firme y delicada.,88,"16,2 ","1,9",1,pescados,"Rica en proteínas y baja en grasas, ideal para una dieta equilibrada.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634654/udqvcvgyjsqjezijshd6.jpg,
Lenguado ,Pescado plano de sabor suave y carne tierna.,82,"16,9 ","1,7","0,8 ",pescados,"Bajo en grasas y alto en proteínas, ayuda al mantenimiento muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634652/lky7tdr1ejiukswlesv5.jpg,
Lubina ,Pescado blanco de carne firme y versátil.,82,"16,6 ","1,5","0,6 ",pescados,"Rica en omega-3, beneficiosa para la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634650/yy9h5sql8dce73dkb5jl.jpg,
Lucio ,"Pescado blanco de agua dulce, magro y firme.",81,18,"0,6",0,pescados,"Bajo en grasas, excelente fuente de proteínas magras.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634648/an5oh5tw6znv14yk3gus.jpg,
Mejillones ,Moluscos ricos en proteínas y minerales.,66,"11,7 ","2,7","3,4 ",pescados,"Alto en hierro y vitamina B12, ideal para el sistema inmune y la prevención de anemia.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634646/ixwa6oxyxmdbeseevg8a.jpg,
Merluza ,Pescado blanco magro con carne tierna.,71,17,"0,3",0,pescados,"Muy bajo en grasas, ideal para dietas ligeras.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634644/da61oweuep3oi32myh1m.jpg,
Mero ,Pescado blanco de carne firme y sabrosa.,80,"17,9 ","0,7","0,6 ",pescados,"Rico en proteínas, ideal para la reparación muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634642/syi46rm6fdzkojbgzc75.jpg,
Pez espada ,Pescado azul de carne firme y sabor suave,109,"16,9 ","4,2",1,pescados,"Fuente de proteínas y omega-3, ayuda a la salud del corazón.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634640/tjxoynfqikpo8qct8mrl.jpg,
Pulpo ,Cefalópodo de carne firme y bajo en calorías.,57,"10,6 ",1,"1,4 ",pescados,"Bajo en grasas, rico en hierro y proteínas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634638/rjqwifbvc84x5mbrufzv.jpg,
Rodaballo ,Pescado blanco con carne firme y delicada,81,"16,3 ","1,3","1,2 ",pescados,"Rico en proteínas y bajo en grasas, ideal para dietas equilibradas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634636/zw8ml0jfrcamsoohxy2u.jpg,
Salmón ,Pescado azul graso con sabor intenso.,176,"18,4 ",12,0,pescados,"Alto en omega-3, beneficioso para el cerebro y el sistema cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634634/e2dorns64zusaxkm4r4i.jpg,
Salmonete ,Pescado de carne firme con sabor delicado.,123,"15,8 ","6,2","1,1  ",pescados,"Fuente de proteínas y omega-3, ayuda a la salud ocular y la piel.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634631/koimdcp0guugf5bjkpk9.jpg,
Sardina ,Pescado azul pequeño y graso,124,15,"4,4",1,pescados,"Rica en omega-3 y calcio, ideal para fortalecer huesos y articulaciones.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634629/yj74j1hqs5zlahftvpni.jpg,
Sepia ,Cefalópodo de carne firme y versátil.,73,14,"1,5","0,7 ",pescados,"Baja en grasas, rica en proteínas y minerales esenciales como zinc y fósforo.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634627/o29t5wudjrxjb4vpxwon.jpg,
Trucha ,Pescado azul magro de carne firme.,96,0,0,0,pescados,"Alto contenido de omega-3 y proteínas, ideal para la salud cardiovascular y muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732634625/rxj7vzynbyqz67jjg2jf.jpg,
Huevo entero (100 gr)  ,Alimento completo rico en proteínas y nutrientes esenciales.,156,13,"11,1",0,huevos,"Fuente de proteínas de alta calidad, colina para la función cerebral y antioxidantes.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732635779/cnjntrltmt8jvxxizv4p.jpg,
Huevo entero  pequeño (50 gr)  ,"Versión más pequeña del huevo entero, con los mismos nutrientes pero en menor cantidad.",78,0,"11,1",0,huevos,"Misma composición nutricional que el huevo entero, ideal para porciones más pequeñas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732635777/d4nblajy5ekw6aevvxaq.jpg,
Yema (17 gr) ,"Parte amarilla del huevo, rica en grasas y vitaminas liposolubles.",55,0,"27,5",0,huevos,"Alta en vitamina A, D, E y K, y contiene antioxidantes beneficiosos para la salud ocular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732635775/l8ddzrwasutscktrbuok.jpg,
Clara (33 gr) ,"Parte blanca del huevo, compuesta principalmente por proteínas.",16,11,0,0,huevos,"Muy baja en calorías, alta en proteínas magras, ideal para el desarrollo muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732635774/qrtugorh1kgkemy1s22l.jpg,
Aguacate ,Fruto cremoso y rico en grasas saludables.,232,"1,9 ",23.5,"3,2 ",frutas,"Fuente de grasas monoinsaturadas, beneficioso para el corazón y la piel.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637897/vhelx5ihsog1uir9pyqm.jpg,
Albaricoque ,"Fruta pequeña, dulce y jugosa.",52,"0,4 ",0.1,"12,5 ",frutas,"Alto en vitamina A, ayuda a la visión y la piel.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637892/dmxoaavjmvlax8wcpazz.jpg,
Arandano ,Pequeño fruto azul rico en antioxidantes.,41,"0,6 ",0.4,"10,1 ",frutas,Mejora la memoria y la salud cardiovascular.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637890/jn9fl0u4l0utljbgkokb.jpg,
Cereza ,Fruta dulce con alto contenido de antioxidantes.,48,"0,8 ",0.1,"11,7 ",frutas,Propiedades antiinflamatorias y mejora el sueño.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637885/os6olqc4f31zbl0h5hnv.jpg,
Ciruela ,Fruta dulce con alto contenido de fibra.,36,"0,5 ",0.1,"8,9 ",frutas,Ayuda a la digestión y regula el tránsito intestinal.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637873/ssjun4l4luhmhhbyy1up.jpg,
Frambuesa ,Fruta roja rica en antioxidantes y fibra.,30,1,0.6,"5,6 ",frutas,Promueve la salud digestiva y protege contra el estrés oxidativo.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637866/kniayh98jave4oyi4zbe.jpg,
Fresa ,Fruta dulce y jugosa rica en vitamina C.,27,"0,9 ",0.4,"5,6 ",frutas,Fortalece el sistema inmunológico y mejora la salud de la piel.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637863/wfxkfzkvn8rlymyg0foj.jpg,
Granada ,Fruta exótica rica en antioxidantes.,62,"0,5 ",0.1,"15,9 ",frutas,Reduce la inflamación y mejora la salud cardiovascular.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637729/yvswb2oaxnrp0go5dhpb.jpg,
Grosella ,Pequeño fruto ácido rico en vitamina C.,37,"0,9 ",0.6,"8,3 ",frutas,Fortalece el sistema inmunológico y protege contra infecciones.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637682/aot5rs6ajlfc2ditnucw.jpg,
Higo fresco ,Fruta dulce rica en fibra y minerales.,47,"0,9 ",0.2,"11,2 ",frutas,Ayuda a la digestión y regula los niveles de azúcar en sangre.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637675/izt9jflr4dvexyda5piy.jpg,
Limón ,Fruta ácida rica en vitamina C y antioxidantes.,14,"0,6 ",0,"3,2 ",frutas,"Alto en vitamina C, mejora el sistema inmunológico y actúa como antioxidante.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637677/e0duzomgo2o56jogauuv.jpg,
Mandarina ,Fruta dulce y cítrica con alto contenido de vitamina C.,41,"0,7 ",0.4,"9,1 ",frutas,Refuerza el sistema inmunológico y favorece la salud de la piel.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637675/izt9jflr4dvexyda5piy.jpg,
Mango ,Fruta tropical dulce y jugosa.,73,"0,7 ",0.4,"16,8 ",frutas,"Alto en vitamina A y antioxidantes, beneficioso para la salud ocular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637673/azdcxc3opmilftfgiyo5.jpg,
Manzana ,Fruta fresca y versátil con alto contenido de fibra.,45,"0,2 ",0.3,"10,4 ",frutas,"Fuente de fibra, antioxidantes y mejora la salud digestiva.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637670/ili0ocuiueejtd0z94l3.jpg,
Melocotón ,Fruta jugosa con sabor dulce y ácido.,30,"0,8 ",0.1,"6,9 ",frutas,"Rico en vitaminas y antioxidantes, beneficioso para la piel.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637668/ssnauelkiy3ewsj0aavw.jpg,
Melón ,Fruta refrescante de pulpa dulce.,30,"0,8 ",0.2,"7,4 ",frutas,"Hidratante y bajo en calorías, ideal para una dieta ligera.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637666/po6r8iajhzdyc7fmmb7t.jpg,
Mora ,Fruto oscuro y jugoso con alto contenido de antioxidantes.,35,1,0.6,"6,5 ",frutas,"Rico en antioxidantes, protege contra el envejecimiento celular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637663/ax6lzbldd0a2gu9e4qdr.jpg,
Naranja ,Fruta cítrica dulce y rica en vitamina C.,53,1,0.2,"11,7 ",frutas,"Fuente de vitamina C, mejora el sistema inmunológico.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637661/lmhh9oj2q06zzu7l53eg.jpg,
Níspero ,Fruta de sabor dulce y ligeramente ácido.,28,"0,4 ",0.4,"6,1 ",frutas,Mejora la digestión y favorece el tránsito intestinal.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637659/g0admlnnqqtwru2wrqsi.jpg,
Piña , Fruta tropical dulce con un toque ácido.,55,"0,5 ",0.2,"12,7 ",frutas,"Contiene bromelina, que ayuda a la digestión y reduce la inflamación.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637656/m8wqkf6mclax8ucdj4ws.jpg,
Pera ,Fruta jugosa con textura suave.,38,"0,7 ",0.1,2,frutas,"Rica en fibra, ideal para la regulación del sistema digestivo.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637654/cplt3p66pev4uj4zqnpf.jpg,
Plátano , Fruta dulce y rica en potasio.,85,"1,2 ",0.3,"19,5 ",frutas,"Fuente de potasio, ayuda a la función muscular y nerviosa.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637652/ipzac2pbpcdak8jdgfq6.jpg,
Pomelo , Fruta cítrica con sabor agridulce.,26,"0,6 ",0,"6,2 ",frutas,"Bajo en calorías, mejora la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637649/jtuzjrgstd2xjmn5hifl.jpg,
Sandía ,Fruta refrescante con alto contenido de agua.,15,"0,7 ",0,"3,7 ",frutas,"Muy hidratante y bajo en calorías, ideal para climas cálidos.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637647/u86qs2tolsjcgqgritk6.jpg,
Uva ,Pequeño fruto dulce y jugoso.,61,"0,5 ",0.1,"15,6 ",frutas,"Rico en antioxidantes y energía rápida, ideal para la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732637645/ao8p7akwijmvfabg6kmk.jpg,
Almendra ,Fruto seco con sabor suave y ligeramente dulce.,499,16,51.4,4,frutos secos,"Fuente de grasas saludables, mejora el corazón y regula el colesterol.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638455/yfvutq6roegrxdw0wkzh.jpg,
Avellana  ,Fruto seco con textura crujiente y sabor a nuez.,625,13,62.9,"1,8 ",frutos secos,"Rica en grasas monoinsaturadas, beneficiosa para la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638452/upnebrtarjbmxnoe8i6a.jpg,
Cacahuete  ,Legumbre con alto contenido de proteínas y grasas.,452,"20,4 ",25.6,35,frutos secos,"Alto en proteínas, grasas saludables, y energía sostenida.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638450/xyxxgr4dk5gk3sdqs5dx.jpg,
Castaña  ,Fruto seco con textura suave y sabor dulce.,349,"4,7 ",3,89,frutos secos,"Rica en carbohidratos complejos, ideal para energía prolongada.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638447/qkifkfmxmgzdaomyfqqq.jpg,
Ciruela pasa ," Ciruela deshidratada, dulce y rica en fibra.",177,"2,2 ",0.5,"43,7 ",frutos secos,"Rica en fibra, mejora la digestión y regula el azúcar en sangre.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638444/tn0bsq1arq0ggmtdkcgc.jpg,
Dátil seco ,Fruta tropical seca con un alto contenido de azúcar natural.,256,"2,7 ",0.6,"63,1 ",frutos secos,"Fuente de azúcares naturales, ideal como energía rápida.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638441/gemkpn2t0o2rzuj2kclr.jpg,
Higo seco ,Fruta deshidratada con sabor dulce y textura masticable.,270,"3,5 ",2.7,"66,6 ",frutos secos,"Rica en calcio y hierro, ideal para la salud ósea y sanguínea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638437/wnnqolgcs6nm4ogix9ka.jpg,
Nuez  , Fruto seco con alto contenido de grasas saludables.,670,"15,6 ",63.3,"11,2 ",frutos secos,"Alta en omega-3, beneficiosa para el cerebro y la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638435/bx56tetcyahemybhdrpg.jpg,
Piñón  , Semilla pequeña y suave de sabor a nuez.,568,"29,6 ",47.8,5,frutos secos,"Rica en hierro, zinc y grasas saludables, mejora la energía.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638199/q8m3pksb7pi0t0aafjub.jpg,
Pistacho  ,Fruto seco con textura crujiente y sabor dulce y salado.,600,0,49,0,frutos secos,"Alto en proteínas y grasas saludables, ideal para el corazón.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638189/dm8boqy4c1ycscceouxm.png,
Uva Pasa ,Uva deshidratada dulce y rica en azúcares naturales.,301,"1,9 ",0.6,72,frutos secos,"Rico en azúcares naturales, fuente rápida de energía.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638184/fuirjq21vr53vwxwrsqz.jpg,
Ajo ,Bulbo con sabor intenso utilizado como condimento en la cocina.,124,6,0.1,"26,3 ",verduras/hortalizas,"Propiedades antibacterianas, mejora la digestión y refuerza el sistema inmunológico.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638686/svhwdiyzfch6pmy6plkb.jpg,
Alcachofa ,Flor comestible con sabor suave y ligeramente amargo.,17,"1,4 ",0.2,"2,3 ",verduras/hortalizas,"Rica en fibra, mejora la digestión y ayuda a controlar el colesterol.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638683/g6nc0ohzyd616mk52iph.jpg,
Apio ,Vegetal de tallo largo y crujiente con sabor refrescante.,22,"2,3 ",0.2,"2,4 ",verduras/hortalizas,"Rico en fibra, ayuda a la digestión y regula el azúcar en sangre.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638681/m0e8xvgztdyao6kvfo9y.jpg,
Berenjena ,Fruto de color morado con textura suave y sabor neutro.,16,"1,1 ",0.1,"2,6 ",verduras/hortalizas,"Bajo en calorías, alto en antioxidantes y ayuda a la digestión.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638678/mzlthsrjxgutdftbhnxh.jpg,
Berro ,Hoja verde con sabor picante y fresco.,"13,2 ","2,4 ",0.2,"1,6 ",verduras/hortalizas,"Rico en vitamina C, ayuda a la circulación y a reducir la inflamación.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638675/clmmfopzsc6adhanfkjr.jpg,
Brécol ,Vegetal crucífero de cabezas verdes compactas.,31,"3,3 ",0.2,4,verduras/hortalizas,"Rico en vitamina C y antioxidantes, combate el envejecimiento celular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638673/qhbsscv2dyxz8ds9zpov.jpg,
Calabacín ,"Fruto de piel fina y carne firme, bajo en calorías.",12,"1,3 ",0.1,"1,4 ",verduras/hortalizas,"Bajo en calorías, alto en vitamina C y promueve la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638670/ptdbqlb94kuyc5rudmfk.jpg,
Calabaza ,Fruto naranja con pulpa dulce y textura suave.,18,"1,1 ",0.1,"3,5 ",verduras/hortalizas,Ayuda a regular la presión arterial y es rico en antioxidantes.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638668/lw3oinf2qnywjvpmdtlp.jpg,
Cardo ,Tallo comestible con textura fibrosa y sabor suave.,10,"0,6 ",0.1,"1,7 ",verduras/hortalizas,"Propiedades digestivas y antiinflamatorias, mejora la salud intestinal.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638665/buvsc9b6zqsh8burf7nt.jpg,
Cebolla ,Bulbo de sabor dulce y textura crujiente.,24,1,0,"5,2 ",verduras/hortalizas,"Ayuda a controlar el colesterol, es rico en antioxidantes y mejora la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638663/eeyohqabuitsp5cz44it.jpg,
Col lombarda  ,Hoja verde púrpura con sabor suave y textura firme.,20,"1,9 ",0.2,"3,4 ",verduras/hortalizas,"Rico en antioxidantes, protege la vista y mejora la salud ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638660/yklgr0whyui6xvqp4kvs.jpg,
Coles de Bruselas ,Pequeñas cabezas verdes de sabor ligeramente amargo.,31,"4,2 ",0.5,"4,3 ",verduras/hortalizas,"Ayuda a reducir el riesgo de enfermedades cardíacas, contiene fibra.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638658/i9txzb3jl7qu3zap34ff.jpg,
